timestamp,open,high,low,close,volume
2020-07-24,129.7500,131.9700,128.1100,129.6300,5077126
2020-07-23,133.0000,133.1500,128.3200,129.0400,7793548
2020-07-22,134.6000,135.1800,130.4900,132.5300,10911866
2020-07-21,137.0900,137.6500,135.2600,135.4800,6993296
2020-07-20,134.2000,137.0000,133.1900,136.5800,4581782
2020-07-17,133.5100,135.0000,132.2500,133.8900,4666200
2020-07-16,130.8500,132.6900,130.5100,132.1800,3337700
2020-07-15,131.4300,132.4500,130.0900,132.1500,3627700
2020-07-14,127.7900,132.2300,126.7100,131.8900,4247500
2020-07-13,132.0000,133.5900,128.4900,128.8200,4861900
2020-07-10,130.2200,131.2400,128.9600,130.5300,2659300
2020-07-09,128.7900,131.9900,126.9000,130.4300,4977400
2020-07-08,129.6700,129.7400,127.6900,129.2600,3584300
2020-07-07,128.7300,129.4700,128.2500,128.6000,3778500
2020-07-06,127.5100,130.5300,126.2000,129.5300,4957000
2020-07-02,126.3900,127.1700,125.0200,125.8100,4799700
2020-07-01,126.6000,126.8600,124.6700,124.8000,4023800
2020-06-30,124.4000,127.7000,124.3500,126.9700,5572400
2020-06-29,123.8500,124.9500,122.4200,124.7700,3540100
2020-06-26,124.8908,124.8908,122.3965,123.3700,9870946
2020-06-25,124.0000,125.3400,122.3500,125.0600,2617173
2020-06-24,125.2900,126.8000,123.1300,123.9900,4747121
2020-06-23,126.6300,128.0950,126.0000,126.6200,4679048
2020-06-22,124.7700,125.4600,123.1100,125.2300,3677664
2020-06-19,128.0600,128.2400,123.9700,124.8850,10376887
2020-06-18,125.7300,126.6300,125.0900,125.9800,3062581
2020-06-17,127.0600,127.8650,125.7900,126.2200,2934184
2020-06-16,128.2700,129.1300,124.4750,126.1100,3529595
2020-06-15,121.5700,124.5300,120.8000,124.2300,5152867
2020-06-12,127.2660,127.7400,122.4000,123.9700,5950875
2020-06-11,129.0500,129.2208,124.3300,124.6100,6014011
2020-06-10,132.4500,132.7900,130.9900,131.4000,4005725
2020-06-09,131.3500,132.9100,130.1500,132.1200,4449968
2020-06-08,130.6600,133.2850,129.6300,132.8600,5602583
2020-06-05,130.9600,135.6800,130.5500,131.4400,7788781
2020-06-04,126.3800,129.0000,126.2900,128.5800,5052550
2020-06-03,126.6700,128.4700,125.6400,127.2100,7650633
2020-06-02,118.6000,122.9300,117.8400,122.6700,7277681
2020-06-01,117.7700,118.4000,116.8300,117.8600,2842695
2020-05-29,116.8100,119.2600,115.6600,118.7400,5953578
2020-05-28,117.7600,118.6900,115.5100,115.8700,3798358
2020-05-27,116.4300,117.9700,115.5400,117.8200,4079439
2020-05-26,115.8100,117.6100,115.5100,115.7300,4822042
2020-05-22,113.5300,113.8700,112.3200,113.4300,3061595
2020-05-21,116.4400,117.3300,113.3800,113.4600,4361476
2020-05-20,115.1400,118.8300,114.6400,117.4800,4961617
2020-05-19,114.0200,115.3400,112.5300,112.6800,4595070
2020-05-18,111.1829,115.1500,110.2600,114.4200,6527364
2020-05-15,106.5400,108.3700,105.4500,108.2400,7237711
2020-05-14,109.0000,110.4400,106.4200,110.3500,4396124
2020-05-13,112.9200,112.9200,107.3800,109.0700,4653232
2020-05-12,115.1400,115.8700,111.3400,111.6900,3547084
2020-05-11,113.4100,115.7700,113.4100,114.8800,2723621
2020-05-08,113.9600,115.5400,112.7500,115.0000,4331296
2020-05-07,113.8900,114.9300,112.6200,113.6500,3610293
2020-05-06,112.4000,113.8500,111.9800,112.4200,3701441
2020-05-05,111.5000,113.1900,110.8000,111.5400,5242554
2020-05-04,108.9200,110.6600,107.8400,110.5000,4987070
2020-05-01,112.3800,113.2500,109.4500,109.7100,5839885
2020-04-30,117.7500,117.9900,115.1900,116.0700,5781032
2020-04-29,115.9300,119.6800,115.8700,119.4000,4936870
